vorhersagezeitpunkt;station_name;ts;value_q;dimension
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 23:00;1.2681;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 23:00;29.969;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 23:00;4.7274;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 23:00;1.2384;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 23:00;12.337;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 23:00;1.475;cbm/s
09.01.2026 10:00;Ewattingen;10.01.2026 00:00;7.5345;cbm/s
09.01.2026 10:00;Eberfingen;10.01.2026 00:00;11.277;cbm/s
09.01.2026 10:00;Oberlauchringen;10.01.2026 00:00;12.293;cbm/s
09.01.2026 10:00;Illmuehle;10.01.2026 00:00;5.3509;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;10.01.2026 00:00;0.49361;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;10.01.2026 00:00;0.30703;cbm/s
09.01.2026 10:00;Wutachmuendung;10.01.2026 00:00;29.203;cbm/s
09.01.2026 10:00;St-Blasien;10.01.2026 00:00;5.0141;cbm/s
09.01.2026 10:00;Wehra (Pegel);10.01.2026 00:00;2.3017;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;10.01.2026 00:00;3.9112;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;10.01.2026 00:00;1.282;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;10.01.2026 00:00;30.201;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;10.01.2026 00:00;4.796;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;10.01.2026 00:00;1.2411;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;10.01.2026 00:00;12.331;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;10.01.2026 00:00;1.4767;cbm/s
09.01.2026 10:00;Ewattingen;10.01.2026 01:00;7.5976;cbm/s
09.01.2026 10:00;Eberfingen;10.01.2026 01:00;11.352;cbm/s
09.01.2026 10:00;Oberlauchringen;10.01.2026 01:00;12.353;cbm/s
09.01.2026 10:00;Illmuehle;10.01.2026 01:00;5.2758;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;10.01.2026 01:00;0.48831;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;10.01.2026 01:00;0.30647;cbm/s
09.01.2026 10:00;Wutachmuendung;10.01.2026 01:00;29.323;cbm/s
09.01.2026 10:00;St-Blasien;10.01.2026 01:00;4.9593;cbm/s
09.01.2026 10:00;Wehra (Pegel);10.01.2026 01:00;2.2717;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;10.01.2026 01:00;3.8638;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;10.01.2026 01:00;1.2786;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;10.01.2026 01:00;30.328;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;10.01.2026 01:00;4.8398;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;10.01.2026 01:00;1.2417;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;10.01.2026 01:00;12.316;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;10.01.2026 01:00;1.48;cbm/s
09.01.2026 10:00;Ewattingen;10.01.2026 02:00;7.6318;cbm/s
09.01.2026 10:00;Eberfingen;10.01.2026 02:00;11.419;cbm/s
09.01.2026 10:00;Oberlauchringen;10.01.2026 02:00;12.415;cbm/s
09.01.2026 10:00;Illmuehle;10.01.2026 02:00;5.1926;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;10.01.2026 02:00;0.48192;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;10.01.2026 02:00;0.30591;cbm/s
09.01.2026 10:00;Wutachmuendung;10.01.2026 02:00;29.283;cbm/s
09.01.2026 10:00;St-Blasien;10.01.2026 02:00;4.9035;cbm/s
09.01.2026 10:00;Wehra (Pegel);10.01.2026 02:00;2.2419;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;10.01.2026 02:00;3.7997;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;10.01.2026 02:00;1.2694;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;10.01.2026 02:00;30.303;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;10.01.2026 02:00;4.8762;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;10.01.2026 02:00;1.24;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;10.01.2026 02:00;12.281;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;10.01.2026 02:00;1.4814;cbm/s
09.01.2026 10:00;Ewattingen;10.01.2026 03:00;7.6301;cbm/s
